"ano","codmunres","municipio","cobertura_sinasc"
2015,"170600","Couto Magalhães",94.1
2015,"170610","Cristalândia",98.1
2015,"170625","Crixás do Tocantins",91.4
2015,"170650","Darcinópolis",97.2
2015,"170700","Dianópolis",93.6
2015,"170710","Divinópolis do Tocantins",96.9
2015,"170720","Dois Irmãos do Tocantins",93.5
2015,"170730","Dueré",95.3
2015,"170740","Esperantina",99.2
2015,"170755","Fátima",99.8
2015,"170765","Figueirópolis",99.9
2015,"170770","Filadélfia",94.4
2015,"170820","Formoso do Araguaia",97.6
2015,"170825","Fortaleza do Tabocão",98.2
2015,"170830","Goianorte",99.6
2015,"170900","Goiatins",84.5
2015,"170930","Guaraí",91.3
2015,"170950","Gurupi",99
2015,"170980","Ipueiras",92
2015,"171050","Itacajá",97.5
2015,"171070","Itaguatins",97.2
2015,"171090","Itapiratins",94
2015,"171110","Itaporã do Tocantins",99.7
2015,"171150","Jaú do Tocantins",82.4
2015,"171180","Juarina",93.4
2015,"171190","Lagoa da Confusão",93.8
2015,"171195","Lagoa do Tocantins",93.6
2015,"171200","Lajeado",99.8
2015,"171215","Lavandeira",86.2
2015,"171240","Lizarda",99.5
2015,"171245","Luzinópolis",90.7
2015,"171250","Marianópolis do Tocantins",87.9
2015,"171270","Mateiros",99.5
2015,"171280","Maurilândia do Tocantins",99.6
2015,"171320","Miracema do Tocantins",96.6
2015,"171330","Miranorte",97.5
2015,"171360","Monte do Carmo",89.4
2015,"171370","Monte Santo do Tocantins",94.4
2015,"171380","Palmeiras do Tocantins",93.4
2015,"171395","Muricilândia",97.5
2015,"171420","Natividade",99.8
2015,"171430","Nazaré",97.8
2015,"171488","Nova Olinda",96.6
2015,"171500","Nova Rosalândia",94.5
2015,"171510","Novo Acordo",97.6
2015,"171515","Novo Alegre",99.8
2015,"171525","Novo Jardim",96.3
2015,"171550","Oliveira de Fátima",99.9
2015,"171570","Palmeirante",94.3
2015,"171575","Palmeirópolis",96.5
2015,"171610","Paraíso do Tocantins",85.3
2015,"171620","Paranã",93.3
2015,"171630","Pau D'Arco",96.6
2015,"171650","Pedro Afonso",92.9
2015,"171660","Peixe",95.2
2015,"171665","Pequizeiro",94.8
2015,"171670","Colméia",97.3
2015,"171700","Pindorama do Tocantins",98.5
2015,"171720","Piraquê",97
2015,"171750","Pium",91.6
2015,"171780","Ponte Alta do Bom Jesus",95.6
2015,"171790","Ponte Alta do Tocantins",95
2015,"171800","Porto Alegre do Tocantins",95.5
2015,"171820","Porto Nacional",94.9
2015,"171830","Praia Norte",96.1
2015,"171840","Presidente Kennedy",99.8
2015,"171845","Pugmil",99.6
2015,"171850","Recursolândia",95.7
2015,"171855","Riachinho",95.6
2015,"171865","Rio da Conceição",94.7
2015,"171870","Rio dos Bois",96.6
2015,"171875","Rio Sono",95.9
2015,"171880","Sampaio",98.8
2015,"171884","Sandolândia",95
2015,"171886","Santa Fé do Araguaia",96.7
2015,"171888","Santa Maria do Tocantins",91.2
2015,"171889","Santa Rita do Tocantins",99.8
2015,"171890","Santa Rosa do Tocantins",89
2015,"171900","Santa Tereza do Tocantins",94.8
2015,"172000","Santa Terezinha do Tocantins",86.4
2015,"172010","São Bento do Tocantins",97
2015,"172015","São Félix do Tocantins",93.9
2015,"172020","São Miguel do Tocantins",98
2015,"172025","São Salvador do Tocantins",99.8
2015,"172030","São Sebastião do Tocantins",98.4
2015,"172049","São Valério",93.7
2015,"172065","Silvanópolis",95.7
2015,"172080","Sítio Novo do Tocantins",95.9
2015,"172085","Sucupira",99.6
2015,"172090","Taguatinga",98.8
2015,"172093","Taipas do Tocantins",95.9
2015,"172097","Talismã",97.1
2015,"172100","Palmas",99.5
2015,"172110","Tocantínia",97.9
2015,"172120","Tocantinópolis",96.2
2015,"172125","Tupirama",93.9
2015,"172130","Tupiratins",99.4
2015,"172208","Wanderlândia",96.8
2015,"172210","Xambioá",96.3
2015,"210005","Açailândia",99.4
2015,"210010","Afonso Cunha",87.6
2015,"210015","Água Doce do Maranhão",93.7
2015,"210020","Alcântara",75.4
2015,"210030","Aldeias Altas",95.4
2015,"210040","Altamira do Maranhão",97.4
2015,"210043","Alto Alegre do Maranhão",97.3
2015,"210047","Alto Alegre do Pindaré",97
2015,"210050","Alto Parnaíba",95.3
2015,"210055","Amapá do Maranhão",95.3
2015,"210060","Amarante do Maranhão",95.6
2015,"210070","Anajatuba",96.9
2015,"210080","Anapurus",97.3
2015,"210083","Apicum-Açu",96.8
2015,"210087","Araguanã",96.7
2015,"210090","Araioses",93.3
2015,"210095","Arame",94.7
2015,"210100","Arari",95.5
2015,"210110","Axixá",97.7
2015,"210120","Bacabal",97.1
2015,"210125","Bacabeira",91.8
2015,"210130","Bacuri",95.2
2015,"210135","Bacurituba",90.2
2015,"210140","Balsas",98.8
2015,"210150","Barão de Grajaú",91.7
2015,"210160","Barra do Corda",97.5
2015,"210170","Barreirinhas",97.8
2015,"210173","Belágua",90.8
2015,"210177","Bela Vista do Maranhão",99.2
2015,"210180","Benedito Leite",93.7
2015,"210190","Bequimão",83.6
2015,"210193","Bernardo do Mearim",93.7
2015,"210197","Boa Vista do Gurupi",96.8
2015,"210200","Bom Jardim",93.9
2015,"210203","Bom Jesus das Selvas",97.3
2015,"210207","Bom Lugar",94.6
2015,"210210","Brejo",98.3
2015,"210215","Brejo de Areia",96.8
2015,"210220","Buriti",96.5
2015,"210230","Buriti Bravo",98.7
2015,"210232","Buriticupu",94.5
2015,"210235","Buritirana",97.7
2015,"210237","Cachoeira Grande",94.6
2015,"210240","Cajapió",82.1
2015,"210250","Cajari",93.3
2015,"210255","Campestre do Maranhão",98.2
2015,"210260","Cândido Mendes",96
2015,"210270","Cantanhede",92.1
2015,"210275","Capinzal do Norte",95.2
2015,"210280","Carolina",97.5
2015,"210290","Carutapera",98.1
2015,"210300","Caxias",96.5
2015,"210310","Cedral",98.9
2015,"210312","Central do Maranhão",95
2015,"210315","Centro do Guilherme",88.3
2015,"210317","Centro Novo do Maranhão",93.6
2015,"210320","Chapadinha",95.5
2015,"210325","Cidelândia",95.7
2015,"210330","Codó",97
2015,"210340","Coelho Neto",97.5
2015,"210350","Colinas",93.8
2015,"210355","Conceição do Lago-Açu",96.7
2015,"210360","Coroatá",97.9
2015,"210370","Cururupu",89.9
2015,"210375","Davinópolis",97.8
2015,"210380","Dom Pedro",98.9
2015,"210390","Duque Bacelar",95.8
2015,"210400","Esperantinópolis",97.1
2015,"210405","Estreito",97.9
2015,"210407","Feira Nova do Maranhão",99.3
2015,"210408","Fernando Falcão",86.7
2015,"210409","Formosa da Serra Negra",96.4
2015,"210410","Fortaleza dos Nogueiras",95.9
2015,"210420","Fortuna",95.2
2015,"210430","Godofredo Viana",96.6
2015,"210440","Gonçalves Dias",97.7
2015,"210450","Governador Archer",96.4
2015,"210455","Governador Edison Lobão",99.1
2015,"210460","Governador Eugênio Barros",94.7
2015,"210462","Governador Luiz Rocha",90
2015,"210465","Governador Newton Bello",97.5
2015,"210467","Governador Nunes Freire",98.5
2015,"210470","Graça Aranha",90
2015,"210480","Grajaú",97.6
2015,"210490","Guimarães",92.7
2015,"210500","Humberto de Campos",91.3
2015,"210510","Icatu",95.3
2015,"210515","Igarapé do Meio",95.1
2015,"210520","Igarapé Grande",94.8
2015,"210530","Imperatriz",98.8
2015,"210535","Itaipava do Grajaú",96.4
2015,"210540","Itapecuru Mirim",96.5
2015,"210542","Itinga do Maranhão",99.1
2015,"210545","Jatobá",99.4
2015,"210547","Jenipapo dos Vieiras",95.2
2015,"210550","João Lisboa",99.2
2015,"210560","Joselândia",98.1
2015,"210565","Junco do Maranhão",88.3
2015,"210570","Lago da Pedra",97.5
2015,"210580","Lago do Junco",97
2015,"210590","Lago Verde",95.2
2015,"210592","Lagoa do Mato",97.1
2015,"210594","Lago dos Rodrigues",97.5
2015,"210596","Lagoa Grande do Maranhão",99.1
2015,"210598","Lajeado Novo",99.3
2015,"210600","Lima Campos",98.5
2015,"210610","Loreto",95.5
2015,"210620","Luís Domingues",96.4
2015,"210630","Magalhães de Almeida",96.1
2015,"210632","Maracaçumé",97.9
2015,"210635","Marajá do Sena",94.3
2015,"210637","Maranhãozinho",95.2
2015,"210640","Mata Roma",79.2
2015,"210650","Matinha",95
2015,"210660","Matões",93
2015,"210663","Matões do Norte",92.2
2015,"210667","Milagres do Maranhão",97.9
2015,"210670","Mirador",97.2
2015,"210675","Miranda do Norte",99.8
2015,"210680","Mirinzal",92.5
2015,"210690","Monção",94.5
2015,"210700","Montes Altos",98.1
2015,"210710","Morros",96.8
2015,"210720","Nina Rodrigues",94.9
2015,"210725","Nova Colinas",99.4
2015,"210730","Nova Iorque",90.8
2015,"210735","Nova Olinda do Maranhão",96.7
2015,"210740","Olho d'Água das Cunhãs",96.9
2015,"210745","Olinda Nova do Maranhão",96.5
2015,"210750","Paço do Lumiar",95.7
2015,"210760","Palmeirândia",93
2015,"210770","Paraibano",96.9
2015,"210780","Parnarama",96.2
2015,"210790","Passagem Franca",99
2015,"210800","Pastos Bons",92.3
2015,"210805","Paulino Neves",96.8
2015,"210810","Paulo Ramos",99
2015,"210820","Pedreiras",95.2
2015,"210825","Pedro do Rosário",62.2
2015,"210830","Penalva",98.6
2015,"210840","Peri Mirim",93.4
2015,"210845","Peritoró",95.7
2015,"210850","Pindaré-Mirim",96.8
2015,"210860","Pinheiro",97.8
2015,"210870","Pio XII",97.8
2015,"210880","Pirapemas",96.3
2015,"210890","Poção de Pedras",95.9
2015,"210900","Porto Franco",99.2
2015,"210905","Porto Rico do Maranhão",99.7
2015,"210910","Presidente Dutra",96.4
2015,"210920","Presidente Juscelino",90.3
2015,"210923","Presidente Médici",97.1
2015,"210927","Presidente Sarney",93.1
2015,"210930","Presidente Vargas",93.2
2015,"210940","Primeira Cruz",95.6
2015,"210945","Raposa",96.1
2015,"210950","Riachão",97.4
2015,"210955","Ribamar Fiquene",98.5
2015,"210960","Rosário",92.4
2015,"210970","Sambaíba",98
2015,"210975","Santa Filomena do Maranhão",99.4
2015,"210980","Santa Helena",95.8
2015,"210990","Santa Inês",98.5
2015,"211000","Santa Luzia",97.2
2015,"211003","Santa Luzia do Paruá",95
2015,"211010","Santa Quitéria do Maranhão",98
2015,"211020","Santa Rita",94.7
2015,"211023","Santana do Maranhão",99.3
2015,"211027","Santo Amaro do Maranhão",95.3
2015,"211030","Santo Antônio dos Lopes",95.9
2015,"211040","São Benedito do Rio Preto",98.8
2015,"211050","São Bento",97.4
2015,"211060","São Bernardo",95.7
2015,"211065","São Domingos do Azeitão",90.5
2015,"211070","São Domingos do Maranhão",94.2
2015,"211080","São Félix de Balsas",91.6
2015,"211085","São Francisco do Brejão",99.6
2015,"211090","São Francisco do Maranhão",96
2015,"211100","São João Batista",97.2
2015,"211102","São João do Carú",98.6
2015,"211105","São João do Paraíso",98.8
2015,"211107","São João do Soter",94.4
2015,"211110","São João dos Patos",99.1
2015,"211120","São José de Ribamar",97.4
2015,"211125","São José dos Basílios",90.7
2015,"211130","São Luís",95.1
2015,"211140","São Luís Gonzaga do Maranhão",90.7
2015,"211150","São Mateus do Maranhão",98
2015,"211153","São Pedro da Água Branca",98.5
